,2021-12-31,保险行业关于《保险公司偿付能力监管规则(Ⅱ)》的点评：偿二代二期工程落地 预计对头部险企的影响相对有限,新浪
307,2021-11-06,服务双碳经济 中国太保推出“碳配额+质押+保险”服务,财经网
308,2021-11-06,2022年“开门红”姗姗来迟！险企大力布局养老驱动,腾讯网
309,2021-11-06,周报丨大型寿险公司试水独代；部分小型财险公司未来一年或退出车险市场 业务变化,和讯
310,2021-11-06,上市险企第三季度利润承压保险行业怎么了,Wind
311,2021-11-05,第四届虹桥论坛全民健康分论坛I中国太保总裁傅帆：守住初心、不断创新、服务民心,和讯
312,2021-11-05,保险卖不动了？国寿、新华保险单季净利润腰斩 太保退保金暴增86％ 盈利能力下降,腾讯网
313,2021-11-05,中国太保寿险总经理蔡强：为进博参会全员免费提供万亿元人身风险保障|进博会时间,国际金融报
314,2021-11-05,专访｜中国太保寿险总经理蔡强：元宇宙等新科技或为养老发展带来想象空间,21世纪经济报道
315,2021-11-05,北向资金结束连续6日净买入，隆基股份连续3日遭抛售累计净卖出超30亿,Wind
316,2021-11-05,中国太保董事长顾越：保险业要应对智慧出行新挑战,中新网
317,2021-11-05,保险行业2021年三季报综述：人力改革加速 投资表现稳健,新浪
318,2021-11-04,进博会今日开幕 背后有哪些保险保障？,经济观察网
319,2021-11-04,第十六届亚洲金融年会| 中国太保获授“碳中和先锋绿色金融企业”,财经网
320,2021-11-04,【上市险企三季报观察】投资端表现分化 负债端增速放缓,和讯
321,2021-11-04,前三季83家财险公司净利425亿元，“老三家”贡献近九成,Wind
322,2021-11-03,中国太保产险举办“科技金融服务双碳经济”国际高峰论坛,上证报
323,2021-11-03,总保额逾万亿元 中国太保护航进博会,上证报
324,2021-11-03,中国太保助力“零碳进博”,财经网
325,2021-11-03,总保额逾万亿元 中国太保向进博局递交一站式综合保险保障方案,中证网
326,2021-11-03,险企预热明年开门红，新单增速或面临三大制约,Wind
327,2021-11-02,上市险企第三季度利润承压 保险行业怎么了？ 盈利能力下降,经济观察网
328,2021-11-02,万亿保障 全程呵护 中国太保助力第四届进博会更圆满,中金在线
329,2021-11-02,五大上市险企前三季度保费收入下滑 国寿、新华单季度净利腰斩 盈利能力下降,AI财经社
330,2021-11-02,长江养老董事长苏罡：在养老金管理中要立志做“时间的朋友”,21世纪经济报道
331,2021-11-02,保险Ⅱ行业三季报综述：寿险符合预期 财险略超预期,广发证券
332,2021-11-02,非银金融行业周报：财富管理核心标的业绩高增长 险企改革成效显现尚待时日,新浪
333,2021-11-01,11.01丨原太保产险董事长掌舵招商证券；保险消费者更倾向选择女代理人,和讯
334,2021-11-01,五大上市险企三季度净利齐跌！国寿、平安个险代理人共缩水70万 盈利能力下降,国际金融报
335,2021-11-01,【国君非银|保险三季报综述】供需错配已获共识，转型阵痛期业绩承压 经营问题,欣琦看金融
336,2021-11-01,每经数读|1-9月九大险企保费出炉：人身险保费增速由正转负，财险降幅进一步扩大，券商称车险综改对保费同比压制将逐渐解除,每日经济新闻
337,2021-11-01,信达证券维持中国太保买入评级：三季度新单承压，负债端表现优于同业,每日经济新闻
338,2021-11-01,中国太保| 寿险3季度经营情况不理想，新基本法还需要整体销售体系的支撑【中泰金融·陆韵婷/戴志锋】 盈利能力下降,传统借贷vs新型金融
339,2021-11-01,图解中国太保三季报：第三季度单季净利润同比减0.50% 盈利能力下降,证券之星
340,2021-11-01,港股一线｜啤酒加价潮将至？保险龙头利润滑坡！10月港股升3.26%领涨亚洲 盈利能力下降,21经济网
341,2021-11-01,大行评级 | 瑞信：予中国太保(2601.HK)跑赢大市评级 目标价降至34港元,格隆汇
342,2021-11-01,高盛：维持中国太保(02601)“中性”评级 目标价微降至24.6港元 机构下调估值,智通财经
343,2021-11-01,平安证券维持中国太保推荐评级：转型持续推进，负债端短期仍承压,每日经济新闻
344,2021-11-01,平安证券：给予中国太保增持评级,证券之星
345,2021-11-01,时光不老 美好一生 中国太保发布《居民养老规划与风险管理白皮书》,中金在线
346,2021-11-01,五大险企三季度净利普降：寿险转型依然承压、车险保费不振 盈利能力下降,澎湃新闻
347,2021-11-01,集体调整精算假设，上市险企三季度业绩“降速”,Wind
348,2021-10-31,【中信建投 非银&金融科技】周报：北交所开业在即，券商业绩持续向好,中信建投非银金融研究
349,2021-10-31,中国太保（601601）2021年三季报点评：新业务增长进一步承压，静待寿险改革成效【华创非银】,华创非银
350,2021-10-31,国盛证券维持中国太保买入评级：寿险改革持续推进关注代理人质态改善趋势,每日经济新闻
351,2021-10-31,【安信非银】中国太保2021Q3业绩点评：Q3负债端承压加剧，关注长航行动成效,新角度新金融
352,2021-10-31,A股五大险企第三季度净利润同比降36%，寿险仍未见拐点 盈利能力下降,第一财经
353,2021-10-31,【国君非银】利润稳健增长，转型阵痛期全年及开门红承压——中国太保2021年三季报业绩点评,欣琦看金融
354,2021-10-31,中国太保前三季度退保金同比大增，寿险续期业务下滑 盈利能力下降,AI财经社
355,2021-10-30,上市险企三季报陆续出炉，净利同比普降超三成，股民：开盘就卖 盈利能力下降,ZAKER
356,2021-10-30,【中信建投金融】中国太保三季报点评：寿险改革系列措施即将落地，产寿基本面向好发展,大金融研究
357,2021-10-30,招才进保 | 五大上市险企“2022招才季”，哪些职位上“热榜”？,和讯
358,2021-10-30,【东吴非银 | 中国太保2021年三季报点评】长航行动深入推进，个险板块成效显现,微信
359,2021-10-30,开源证券：给予中国太保买入评级,证券之星
360,2021-10-30,Wind风控日报2021年10月30日星期六,Wind
361,2021-10-30,准备金计提增加、投资收益下滑、赔付增多三因素共振 四大险企第三季度合计净利同比下滑39% 盈利能力下降,证券日报
362,2021-10-30,中国太保公布三季报 前三季净利增加15.46%,新浪
363,2021-10-29,中国太保(02601)建议委任安永华明会计师事务所为核数师,智通财经
364,2021-10-29,太保家园成都、大理社区开业,上证报
365,2021-10-29,五大上市险企前三季度净赚约1856亿元 提升健康“指标”能否突出重围,北京商报
366,2021-10-29,中国太保(02601.HK)建议委任安永华明为核数师,格隆汇
367,2021-10-29,中国太保：建议更换核数师,Wind
368,2021-10-29,中国太保：建议统一采用中国企业会计准则编制财务报表,Wind
369,2021-10-29,中国人保(601319)2021年三季报点评：核心业务保持稳健 非车险出现承保亏损 亏损,新浪
370,2021-10-29,中国太保：前三季度净利润226.86 亿元 同比增长15.5%,北京商报
371,2021-10-29,中国太保：前三季度净利润同比增长15.46%,Wind
372,2021-10-29,中国太保最新公告：第三季度净利53.8亿元 同比下降0.5% 盈利能力下降,证券之星
373,2021-10-29,中国太保：第三季度净利53.8亿元 同比下降0.5% 盈利能力下降,财联社
374,2021-10-29,中国太保(02601)三季度净利同比减少0.5%至53.82亿元 盈利能力下降,智通财经
375,2021-10-29,中国太保2601｜第三季按年少赚0.5% | 头条金融网 盈利能力下降,头条日报
376,2021-10-29,护航第四届进博会!“太保服务”已就位,中金在线
377,2021-10-29,中国太保：前三财季盈利226.86亿人民币，同比增长15.46%,Wind
378,2021-10-29,中国太保：第三季度净利润53.82亿元，同比下降0.5%,Wind
379,2021-10-29,新能源真的为所欲为！宁德创新高，5000亿隆基逼近涨停,Wind
380,2021-10-29,非银金融行业：加仓财富管理优势券商,广发证券
381,2021-10-29,深度丨保险业2022年开门红吹风：中国人寿已发3款产品，强监管下各家人力配备下降,21世纪经济报道
382,2021-10-29,A股保险股集体下跌，新华保险、中国人寿跌超5%,澎湃新闻
383,2021-10-29,【行情】保险板块持续下行，新华保险大跌近7%，中国人寿跌超6%，中国太保、中国平安、中国人保等跟跌,金十数据
384,2021-10-29,【异动股】中国太保(02601.HK)跌3.02%,财华社
385,2021-10-29,【行情】内险股早盘下挫，中国平安(02318.HK)跌近5%，中国人寿(02628.HK)跌3.5%，新华保险(01336.HK)跌2.7%，中国太保(02601.HK)跌2.6%,金十数据
386,2021-10-28,"""沪惠保""生效3个月受理报案量超4万件 如何做到的？",新浪
387,2021-10-28,守护自然守护爱 ‖“太保服务”系列纪录片之“我们家的大象”,和讯
388,2021-10-28,银行21Q3金融板块持仓：银行保险均减配、“财富管理”类券商获得增配,新浪
389,2021-10-27,QFII最新动向！这只“新宠”大牛股，年内涨超两倍,Wind
390,2021-10-27,中国太保产险深圳分公司荣获2021年“爱心企业”荣誉称号,深圳新闻网
391,2021-10-27,五大A股险企前三季度共揽2.04万亿原保费 同比微降0.97%,中国网
392,2021-10-27,风里雨里 “晋”心尽力 防汛救灾中国太保在行动,云南经济日报
393,2021-10-27,聚焦ESG | 推动巨灾保险发展，支持应对气候变化的“太保样本”,云南经济日报
394,2021-10-27,保险负债端拐点未现,证券市场周刊
395,2021-10-27,起飞的数字疗法，如何实现在保险航母上的业务落地？,动脉网
396,2021-10-26,非银金融周报：人身险渠道产品再迎新规 券商三季报整体预增,新浪
397,2021-10-26,北向资金再度净买入超8亿，连续9日抢筹宁德时代累计加仓超55亿,Wind
398,2021-10-26,银保监会和上海市人民政府联合发布《关于推进上海国际再保险中心建设的指导意见》,Wind
399,2021-10-25,【天风非银】互联网保险新规：竞争格局利好大型保险公司，线下高素质队伍仍是核心，看好友邦，太保！,新锐视角看金融
400,2021-10-25,北向资金连续5日加仓累计扫货超300亿，阳光电源、天赐材料净买入额均超新高,Wind
401,2021-10-25,非银金融行业周报：互联网人身险产品迎“专属”时代 关注券商三季报行情,光大证券
402,2021-10-24,长江养老联合第一财经发布 《长三角养老金融绿色发展报告》,中金在线
403,2021-10-24,2021第四届长三角养老金融论坛 暨上海金融联合会养老金融专业委员会成立大会在沪举行,中金在线
404,2021-10-23,综合金融服务行业周报：保险投资端有所改善 负债端仍承压,光大证券
405,2021-10-22,北向资金一年来首次连续两日加仓超百亿，七天爆买宁德时代近50亿,Wind
406,2021-10-22,相融共生 谋深做实 中国太保勇担社会责任助力高质量发展,投资时报
407,2021-10-22,A股五大险企前9月实现保费约2.04万亿，车险保费增速四季度有望改善,Wind
408,2021-10-21,地产风险恐慌缓解，金融保险开启估值纠偏？,财经网
409,2021-10-21,中国平安大涨超5%，保险股全线飘红！机构：行业最差时点即将过去,中证报
410,2021-10-21,保险卖不动了？五大险企前9个月整体保费负增长 保费增速逐月递减,和讯
411,2021-10-21,《2021北京保险业服务经济民生实例》发布,财经网
412,2021-10-21,北向资金持续加仓三日抢购A股超180亿，中国平安获大幅净买入超10亿,Wind
413,2021-10-21,恒指收跌0.45%，地产、金融逆市走强,Wind
414,2021-10-21,大金融板块拉升 低位反弹还是风格反转？,中投网
415,2021-10-21,大金融强势崛起，万亿保险龙头大涨6%！沪指重返3600点,Wind
416,2021-10-21,解盘：百亿资金流入，煤炭、磷化工、纯碱、稀土领涨,Wind
417,2021-10-21,【异动股】中国太保(02601.HK)涨3.59%,财华社
418,2021-10-21,5大上市险企前3季度揽2.04万亿：健康险逆势增长，产险再承压,资本邦
419,2021-10-20,前三季5大上市险企揽2.04万亿保费 行业进入开门红筹备阶段,中国经济网
