,2021-12-31,化工行业2021年11月数据：国内化工行业运行指标跟踪,新浪
285,2021-08-31,开源证券给予华鲁恒升买入评级，公司信息更新报告，近期获2份券商研报关注，目标均价涨幅16.47%,每日经济新闻
286,2021-08-31,华鲁恒升(600426)2021年半年报点评：产品量价齐升带动单季度业绩再创新高 尼龙66与可降解塑料项目继续拓宽成长空间,新浪
287,2021-08-30,华鲁恒升(600426.SH)：上半年净利增320.46%至38.01亿元,格隆汇
288,2021-08-30,华鲁恒升半年报：上半年净利38亿元 同比增320%,财联社
289,2021-08-30,华鲁恒升：上半年净利润同比增长320.46%,Wind
290,2021-08-30,能源化工行业周观点：油价重回70美元 两碱、氟化工等价格强势,新浪
291,2021-08-30,尿素主力合约触及涨停，华鲁恒升涨3.91%,阿尔法工场
292,2021-08-30,石油石化、基础化工、新材料行业北上资金流向周报,新浪
293,2021-08-27,北向资金本周稳步进场加仓A股近180亿，隆基股份大幅净买入超11亿元,Wind
294,2021-08-27,生意社：8月27日山东华鲁恒升液氨报价下调,生意社
295,2021-08-26,华鲁恒升(600426.SH)：停车检修生产装置复产,智通财经
296,2021-08-26,华鲁恒升：检修工作完成 恢复正常生产,财联社
297,2021-08-26,化工行业周报：有机硅价格持续上行 看好行业景气延续,新浪
298,2021-08-24,化工周报：有机硅、PVDF大幅上涨 关注化工企业布局新能源材料 周期和成长有望同时向上,新浪
299,2021-08-24,生意社：8月24日山东华鲁恒升醋酸产销动态,生意社
300,2021-08-24,化工行业：需求拉动下 电解液溶剂、工业硅价格强势,新浪
301,2021-08-24,华鲁恒升(600426)深度报告：合成气优势巩固 新能源材料打开成长空间,新浪
302,2021-08-23,A股强势反弹，工业母机批量涨停，新龙头闪现？,Wind
303,2021-08-22,招商化工行业周报2021年8月第3周：有机硅产业链价格全线上涨，PVDF价格持续上行,微信
304,2021-08-21,【PVDF、有机硅宽幅上涨，继续看多EVA、三氯氢硅景气周期】-国信化工周观点,化工林谈
305,2021-08-20,医药消费惨跌，A股却扛住北上资金200亿抛压,Wind
306,2021-08-20,生意社：8月20日华鲁恒升异辛醇报价暂稳,生意社
307,2021-08-19,生意社：8月19日山东华鲁恒升液氨装置检修,生意社
308,2021-08-17,瞰鉴鲁股：板块总市值迈过4万亿“门槛” 芯片概念股东软载波却坐上“过山车”,每日经济新闻
309,2021-08-17,生意社：8月17日山东华鲁恒升醋酸产销动态,生意社
310,2021-08-17,山东区域股市周报：板块总市值大涨1573亿，10.64亿融资净偿还山东股票,每日经济新闻
311,2021-08-17,化工行业周报：大鱼择大池 化工巨头挺进新能源赛道,华安证券
312,2021-08-16,化工周报：化工品景气度延续上行 关注龙头企业进军磷酸铁锂、DMC 等新能源产业链,新浪
313,2021-08-16,化工行业周报：新能源风起 化工龙头加速布局,新浪
314,2021-08-16,基础化工行业周报：锂电材料价格创新高 钛白粉挂牌价普涨 纯碱、DMF、BDO产业链、农化品、橡胶助剂、制冷剂等延续涨势 醋酸乙烯、食品添加剂涨价,新浪
315,2021-08-15,招商基础化工行业周报2021年8月第2周：金属硅和BDO价格涨幅居前，三氯蔗糖等甜味剂价格上涨,招商基础化工
316,2021-08-15,【开源化工】化工周报：关注化工企业电新布局，龙头有望迎来全面重估,新浪
317,2021-08-15,14股获超百次心动“投票”！4大板块盛产绩优股,Wind
318,2021-08-14,基础化工行业周报：VE、天然气有望景气上行 新能源需求激增磷化工企业优势显着,光大证券
319,2021-08-14,【PVDF、制冷剂大涨，看多纯碱、EVA、三氯氢硅长周期】-国信化工周观点,化工林谈
320,2021-08-13,【东吴晨报0813】【行业】零售【个股】淳中科技、香港交易所、欧派家居、华鲁恒升、鱼跃医疗、启明星辰、青鸟消防、锦欣生殖、东方通,东吴研究所
321,2021-08-12,东吴证券维持华鲁恒升买入评级：战略清晰，脚踏实地，开辟第二增长曲线,每日经济新闻
322,2021-08-12,生意社：8月12日山东华鲁恒升液氨装置检修,生意社
323,2021-08-11,化工行业周报：DMC及电解液溶剂、纯碱、DMF、BDO、磷矿石、草铵膦等价格持续上涨 六氟磷酸锂、PO、双酚A、氯化钾、橡胶助剂等涨价,新浪
324,2021-08-11,生意社：8月11日华鲁恒升异辛醇报价下跌,生意社
325,2021-08-10,生意社：8月10日山东华鲁恒升醋酸产销动态,生意社
326,2021-08-10,能源化工行业周观点：油价短期波动 两碱等化工品价格继续上行,新浪
327,2021-08-09,降解塑料行业全景图：供应与需求高增 机遇和风险并存,新浪
328,2021-08-09,安信证券：维持华鲁恒升(600426.SH)“买入-A”评级 目标价43元,智通财经
329,2021-08-08,西南证券维持华鲁恒升买入评级：拟建PA66、PBAT项目，加快布局新材料,每日经济新闻
330,2021-08-08,招商基础化工行业周报2021年8月第1周： PTMEG及BDO价格涨幅居前，碳酸二甲酯供需关系紧张,招商基础化工
331,2021-08-07,【DMC、EVA宽幅上涨，纯碱、氨纶价格持续上涨】-国信化工周观点,化工林谈
332,2021-08-06,生意社：8月6日山东华鲁恒升液氨装置检修,生意社
333,2021-08-05,华鲁恒升：部分生产装置停车检修,Wind
334,2021-08-05,华鲁恒升：部分生产装置停车检修,e公司
335,2021-08-05,【碳酸二甲酯行业点评 | 电解液&PC需求持续拉动，DMC价格宽幅上涨】-国信证券,化工林谈
336,2021-08-05,生意社：8月5日山东华鲁恒升醋酸产销动态,生意社
337,2021-08-05,华鲁恒升：荆州公司一期项目建设期预计36个月,每日经济新闻
338,2021-08-05,谁在哄抬化肥价格？发改委约谈，市场监管总局立案调查,Wind
339,2021-08-05,晨报0805 | 华鲁恒升（600426）、化妆品专题,新浪
340,2021-08-05,晨报0805 | 华鲁恒升（600426）、化妆品专题,国泰君安证券研究
341,2021-08-04,【天风新材料20210804】己二酸上市公司华鲁恒升拟建12万吨PBAT+18万吨BDO项目,煤炭鑫观点
342,2021-08-03,生意社：8月3日山东华鲁恒升液氨报价下调,生意社
343,2021-08-03,深度*行业*化工行业周报：原油震荡上行 发改委约谈重点化肥企业,新浪
344,2021-08-02,石油石化行业：二季度化工行业基金持仓分析,新浪
345,2021-08-02,石油石化、基础化工、新材料行业北上资金流向周报,新浪
346,2021-08-02,化工：草铵膦价格涨势不减 PTA价差持续扩大,新浪
347,2021-08-02,基础化工行业：煤化工景气上行 PVDF乘新能源风而起,新浪
348,2021-08-02,生意社：8月2日华鲁恒升异辛醇报价暂稳,生意社
349,2021-08-02,基础化工行业周报：7月PMI公布 万华上调8月MDI挂牌价 两碱、辛醇、BDO、磷产业链等继续走高 DMC、草铵膦、醋酸产业链、DMF等涨价,新浪
350,2021-08-02,中泰周期·大宗指南：周期品周度运行变化,新浪
351,2021-08-02,化工周报：纯碱、BDO、氨纶等持续上涨 周期旺季来临 重点关注细分龙头,新浪
352,2021-08-01,招商基础化工行业周报2021年7月第5周： 国际氯化钾及烧碱价格涨幅居前，纯碱景气度持续向上,招商基础化工
353,2021-08-01,【华安化工|周报】碳排放将被纳入环评，首批试点涉及七省市重点行业,化工阿尔法
354,2021-07-30,每日市场热点分析,新浪
355,2021-07-29,高管减持排行榜：4股减持额超亿元,证券时报网
356,2021-07-29,生意社：7月29日山东华鲁恒升醋酸产销动态,生意社
357,2021-07-28,基础化工行业研究：公募基金配置化工行业水平接近十年最高值 价值风格向成长风格切换明显,国金证券股份有限公司
358,2021-07-28,生意社：7月28日华鲁恒升DMF最新动态,生意社
359,2021-07-28,行业观察|液氨涨价创历史新高企业人士：产品订单充足，涨价将持续,财联社
360,2021-07-27,华鲁恒升：九名董监高人员合计减持约74万股，减持计划到期,每日经济新闻
361,2021-07-27,华鲁恒升(600426.SH)相关董事、高管减持计划结束 拟减持股份,智通财经
362,2021-07-26,2021Q2公募基金化工重仓股分析：21Q2公募基金化工重仓股配置环比继续上升 风格切换至细分龙头及新能源、半导体相关标的,新浪
363,2021-07-26,能源化工行业周观点：油价恢复上行 两碱、磷化工等维持强势,新浪
364,2021-07-26,基础化工行业周报：多个化工品持续上涨 MDI、PO、纯碱、丁辛醇、电石产业链、磷产业链等继续走高 烧碱、DMC、氨纶、尿素、双酚A等涨价,新浪
365,2021-07-26,化工周报：钾肥、氯碱、氨纶等持续上涨 周期旺季来临 重点关注细分领域龙头,新浪
366,2021-07-25,深度*行业*化工行业周报：原油V型震荡 草铵膦等产品价格上调,新浪
367,2021-07-25,化工行业周报：硝酸“有价无市” PTV价差由跌转涨,新浪
368,2021-07-24,中泰化工周度观点：景气未止 成长延续,新浪
369,2021-07-23,化工行业2021年度中期投资策略报告：景气未止 成长延续,新浪
370,2021-07-23,2021年基础化工行业中期投资策略：周期景气持续 成长聚焦龙头,新浪
371,2021-07-23,生意社：7月23日华鲁恒升异辛醇报价上涨,生意社
372,2021-07-22,热门赛道机构竞相登门，53家公司看涨逾60%,Wind
373,2021-07-22,生意社：7月22日华鲁恒升电厂硫酸铵价格动态,生意社
374,2021-07-21,7月涨幅最大行业花落谁家？板块中个股业绩、债务2张图看清！,Wind
375,2021-07-21,化工行业周报：纯碱价格持续上行 看好纯碱高景气延续,新浪
376,2021-07-21,生意社：7月21日华鲁恒升DMF最新动态,生意社
377,2021-07-21,51股获券商买入评级，冀东水泥目标涨幅达102.95%,Wind
378,2021-07-20,华鲁恒升盘中快速下跌,新浪
379,2021-07-19,广发证券：维持华鲁恒升(600426.SH)“买入”评级 目标价49.95元,智通财经
380,2021-07-19,能源化工行业国际油价点评：OPEC+达成产量决议 有望支撑短期油价,新浪
381,2021-07-19,石油化工新材料行业北上资金周报,新浪
382,2021-07-19,基金二季报陆续发布，明星基金经理调仓换股,Wind
383,2021-07-19,化工周报：旺季即将来临 化肥、化纤持续强势 周期有望迎来价量双升,新浪
384,2021-07-19,中信证券：OPEC+决议好于预期，有望推动油价上行,Wind
385,2021-07-18,招商基础化工行业周报2021年7月第3周：丁二烯、甘氨酸涨幅居前，继续关注中报超预期个股,招商基础化工
386,2021-07-18,深度*行业*化工行业周报：原油高位略有回调 磷肥价格本周大涨,新浪
387,2021-07-18,中泰化工周度观点：长丝盈利持续改善 聚酯龙头业绩超预期,新浪
388,2021-07-17,石油化工行业跟踪报告：6月美国商业原油库存环比减少5.2%,新浪
389,2021-07-17,一周研选0717 | 航空行业策略、农商行更新、华鲁恒升深度、调味品专题、中国化学深度,国泰君安
390,2021-07-16,兴业证券基础化工行业周报：MDI产业链价格继续上涨 草铵膦、磷酸二铵、尿素等农化产品延续涨势 PO、纯碱、氨纶涨价,新浪
391,2021-07-15,化工行业研究周报：氯化钾、烧碱价格上涨,新浪
392,2021-07-15,110股遭高管减持套现52.78亿元,证券时报网
393,2021-07-15,基础化工周报：布油价格持平 三氯氢硅、氯化钾、草甘膦、纯碱等产品价格上涨,新浪
394,2021-07-14,生意社：7月14日山东华鲁恒升醋酸产销动态,生意社
395,2021-07-14,申港证券：给予华鲁恒升买入评级,证券之星
396,2021-07-14,申港证券维持华鲁恒升买入评级：DMC项目驱动新成长,每日经济新闻
397,2021-07-14,周期组联合会议：周期复兴：电话会议纪要,新浪
398,2021-07-14,80股获券商买入评级，环旭电子目标涨幅达84.70%,Wind
399,2021-07-13,生意社：7月13日华鲁恒升DMF最新动态,生意社
400,2021-07-13,国泰君安晨报,新浪
401,2021-07-13,晨报0713|华鲁恒升（600426）、长城汽车,新浪
402,2021-07-12,石油石化行业：供需双向支撑 DMC深度受益,新浪
403,2021-07-12,每日报告回放,新浪
404,2021-07-12,北向资金今日净买入16.42亿元，新能源股表现分化,Wind
405,2021-07-12,基础化工行业周报：MDI、氯化钾、己二酸、丁辛醇、PO价格继续上涨 DMF、DMC、电解液、草铵膦、磷矿石涨价,新浪
406,2021-07-12,能源化工行业周观点：油价振荡后上行 光伏新能源材料关注度高,新浪
407,2021-07-12,生意社：7月12日山东华鲁恒升液氨报价持稳,生意社
408,2021-07-11,招商基础化工行业周报2021年7月第2周：MDI价格大幅上涨，建议关注中报超预期个股,招商基础化工
409,2021-07-11,【华鲁恒升（600426.SH）】业绩大幅增长，多点开花打开长期成长空间——2021年半年度业绩预增公告点评（赵乃迪/吴裕）,光大证券
410,2021-07-10,北上资金活跃度提升，加仓高景气度行业,Wind
411,2021-07-09,A股深V：新能源风光无限，医药白酒黯然神伤,Wind
412,2021-07-09,上海证券维持华鲁恒升增持评级：Q2业绩大超预期，新项目将陆续落,每日经济新闻
