,2021-12-31,罚没720万元，半年负债增29%！粤开证券定增前路如何？ 偿债能力下降,投资时报
313,2021-08-30,杭州银行上半年净利润增长23.07%，不良降至0.98%,澎湃新闻
314,2021-08-30,杭州银行半年报：上半年净利润50亿元 同比增长23%,财联社
315,2021-08-30,杭州银行(600926.SH)上半年归母净利润升23.07%至50.07亿元,格隆汇
316,2021-08-30,杭州银行股份有限公司21宁国建投SCP004信用风险缓释凭证流通要素公告,上清所
317,2021-08-30,杭州银行(600926)：优质区域城商行 高成长性突出 资产质量优异,新浪
318,2021-08-28,杭州银行股份有限公司 关于向下修正“杭银转债”,证券日报
319,2021-08-27,杭州银行：向下修正“杭银转债”转股价格,中证网
320,2021-08-27,杭州银行落地首单上市城商行碳排放配额质押贷款,中国金融新闻网
321,2021-08-27,杭州银行：将“杭银转债”转股价格由16.71元/股下修至12.99元/股,Wind
322,2021-08-25,江苏银行(600919)：江苏银行1H21业绩点评：高质量增长,新浪
323,2021-08-24,险资频繁减持银行股透露信号 保险机构业绩承压或意在获利了结释放利润 减持股份,财联社
324,2021-08-23,深度*行业*银行业周报：7月经济数据低于预期 稳增长与防风险并重,新浪
325,2021-08-21,多空博弈，机构对银行股分歧在哪？,Wind
326,2021-08-20,中国人寿尚未减持杭州银行股份,上证报
327,2021-08-20,杭州银行：中国人寿拟减持不超过总股本1% 拟减持股份,乐居财经
328,2021-08-20,杭州银行：中国人寿尚未减持公司股份,证券时报
329,2021-08-20,杭州银行(600926.SH)股东中国人寿尚未减持股份 减持时间过半,智通财经
330,2021-08-19,A股收盘综述：大小指数再度切换，北向大幅流出超百亿,Wind
331,2021-08-19,A股午盘综述：沪指跌0.71%，周期股全线下挫,Wind
332,2021-08-19,银行板块走弱，杭州银行跌近4%，成都银行、南京银行、江苏银行跟跌。,新浪
333,2021-08-18,杭州银行落地首单上市城商行碳排放配额质押贷款,经济日报
334,2021-08-18,数智赋能未来 杭州银行创新推动数字化转型,中新网
335,2021-08-17,银行行业：银行转债如何实现转股？,广发证券
336,2021-08-17,【银行】银行业周报—银行板块走强，行业中期业绩向好,中银证券研究
337,2021-08-16,杭州银行欲向下修正可转债转股价，以期增加资本，房地产贷款不良率上升较快 资产异常,新浪
338,2021-08-16,银行行业周报：中报催化估值修复行情 关注业绩超预期个股,新浪
339,2021-08-16,银行业周报：银行中报表现优秀 行业估值有望修复,新浪
340,2021-08-16,金融行业周报：金融板块低估值 关注半年报超预期行情,新浪
341,2021-08-13,"杭州银行现2笔大宗交易 共成交1,626.00万元",新浪
342,2021-08-13,杭州银行今日大宗交易成交120万股，成交价13.55元溢价0.0%,Wind
343,2021-08-13,银行行业：7月新增社融低于预期 居民和企业信贷投放走弱,新浪
344,2021-08-13,银行业：银行业上半年利润高增 看好中报业绩催化,新浪
345,2021-08-13,商业银行行业：商业银行业日报(2021.8.12),新浪
346,2021-08-13,扬帆科创金融蓝海 聚焦“金引擎”价值创造,北京青年报
347,2021-08-12,中银证券：看好银行板块中报行情,Wind
348,2021-08-12,银行业7月金融数据点评：社融逐步触底 待后续财政发力,新浪
349,2021-08-12,持续反弹 银行股重回投资视野,中证网
350,2021-08-11,【中信建投金融】杭州银行点评：股价触发下修条件，补充资本支撑长期扩张,大金融研究
351,2021-08-11,银行业2Q21银保监会监管指标点评：盈利释放 资产质量继续改善,新浪
352,2021-08-11,深度*行业*银行业2季度数据点评：单季净利润增长23% 看好中报行情,新浪
353,2021-08-11,银行行业点评：资产质量比利润高增长更重要,新浪
354,2021-08-11,银行股拉升，平安银行、邮储银行、杭州银行领涨,Wind
355,2021-08-10,杭州银行收报13.38元涨7.7% 总市值793.5亿元,乐居财经
356,2021-08-10,“跌跌不休”下33只银行股“破净”，半年报披露季股价是否有望翻身,Wind
357,2021-08-10,【行情】银行板块持续拉升，杭州银行涨近8%，江苏银行、南京银行、宁波银行跟涨,金十数据
358,2021-08-10,银行板块午后持续拉升 杭州银行涨超7%,格隆汇
359,2021-08-10,银行估值近十年低位，中报季来临，银行涨势能持续吗？,奥一网
360,2021-08-10,银行股持续回暖，杭州银行涨近5%,Wind
361,2021-08-10,杭州银行股价涨5.1% 现报13.05元,乐居财经
362,2021-08-10,基金减持 大股东减持 银行估值近十年低位 减持股份,南都报
363,2021-08-10,A股“气温”波动，热门股遇冷“银地保”回暖,Wind
364,2021-08-09,银行股集体反弹！短期行情要来了？,Wind
365,2021-08-09,市场风格切换？百股涨停！“老白马”大爆发,Wind
366,2021-08-09,险资密集减持 银行股还香吗 减持股份,中投网
367,2021-08-09,官司缠身高管离任 市值53亿的粤开证券拟募150亿元 诉讼纠纷,中国经营报
368,2021-08-09,银行行业研究周报：长三角城商行大PK,新浪
369,2021-08-09,A股最火板块半日蒸发1900亿！阿里巴巴盘中重挫4%,Wind
370,2021-08-09,解盘：权重白马爆发，食品、水泥、家电、保险领涨,Wind
371,2021-08-09,杭州银行遭两大险企股东减持背后：业绩增速放缓 核心一级资本面临补充压力 减持股份,新浪
372,2021-08-09,杭州银行股价涨5.4% 现报12.42元,乐居财经
373,2021-08-09,银行股拉升 平安银行、杭州银行涨超5%领涨,格隆汇
374,2021-08-09,银行股全线上扬，平安银行涨近5%,Wind
375,2021-08-09,银行股频遭减持 基金银行股持仓降至历史低位 减持股份,中国基金报
376,2021-08-08,银行行业周报：社融投放趋于集中 关注全行业H1数据披露,新浪
377,2021-08-08,商业银行行业：商业银行业日报,新浪
378,2021-08-07,银行类转债的未来如何？,新浪
379,2021-08-06,杭州银行隐忧：股东拟持续减持，存多项违法违规事实 拟减持股份,电鳗快报
380,2021-08-05,机构 | 杭州银行连续遭险资减持 减持股份,中金在线
381,2021-08-05,银行行业点评：今年银行资本补充有哪些新变化？,新浪
382,2021-08-05,杭州银行：董事、监事辞职,Wind
383,2021-08-05,杭州银行(600926.SH)董事赵鹰辞职 董监高成员变化,智通财经
384,2021-08-05,套现9.14亿后太保寿险再度减持！杭州银行不“香”了吗？ 减持股份,凤凰网
385,2021-08-04,股价跌逾三成，杭州银行年内三度遭险资减持，投资者感叹何时是个头？ 减持股份,时代财经
386,2021-08-04,杭州银行携手网易数帆：聚焦数据价值 赋能企业成长,凤凰网
387,2021-08-04,杭州银行再遭太平洋人寿减持 曾遭中国人寿减持 减持股份,GPLP犀牛财经
388,2021-08-04,8月4日保险日报：银行股不“香”了？年内险资密集减持 减持股份,新浪
389,2021-08-04,已套现9亿又想抛售7个亿！中国太保再度减持杭州银行，还称常规投资操作 减持股份,证券之星
390,2021-08-04,银行股不“香”了？年内险资密集减持 中国人寿是“大户” 减持股份,新京报
391,2021-08-04,张家界境内所有人员不得离开；8月3日24时前已购车票退票不收费；药监局责令4款化妆品停止经营；太保寿险减持杭州银行 减持股份,中国银行保险报
392,2021-08-03,减持杭州银行套现7亿元：中国太保称属于常规投资操作 如何看银行股减持潮？ 减持股份,新浪
393,2021-08-03,08.03丨两财险公司新总裁上任；全球保险科技半年融资74亿美元,和讯
394,2021-08-03,太保寿险套现9.14亿后拟再度减持杭州银行股份 拟减持股份,和讯
395,2021-08-03,杭州银行频遭险企股东减持 太平洋人寿刚套现9.14亿拟再减持1% 拟减持股份,长江商报
396,2021-08-03,中国太保回应减持杭州银行：减持是根据战略资产配置的需要 属于常规投资操作 减持股份,上证报
397,2021-08-03,银行业：保有规模领先 竞争加剧促进业务模式转型,新浪
398,2021-08-03,国寿、太保减持银行股套现 “银地保”还互相嫌弃？ 减持股份,21世纪经济报道
399,2021-08-03,12年赚超20亿！太保寿险又来减持银行股 套现9亿后又想抛售7个亿 啥原因？ 减持股份,券商中国
400,2021-08-03,太保回应减持杭州银行：高度认可杭州银行良好业绩，减持属常规投资操作,Wind
401,2021-08-03,【独家】太保回应减持杭州银行：高度认可杭州银行良好业绩，减持属常规投资操作 减持股份,证券时报网
402,2021-08-03,太保寿险减持杭州银行股份 套现9亿后又想抛售7个亿 减持股份,券商中国
403,2021-08-03,商业银行行业：商业银行业日报,新浪
404,2021-08-03,“聪明钱”在买买买 险资却出手卖出？太保寿险再度减持杭州银行 减持股份,券商中国
405,2021-08-03,12年赚超20亿！这家险资又来减持银行股，套现9亿后又想抛售7个亿，啥原因？ 减持股份,券商中国
406,2021-08-02,杭州银行频遭险企股东减持，太平洋人寿再度减持5930万股 减持股份,新浪
407,2021-08-02,晚间重要公告2021年8月2日星期一,Wind
408,2021-08-02,700亿银行股突发利空！重要股东刚套现9.14亿，新的减持计划又来了 拟减持股份,每日经济新闻
409,2021-08-02,再遭太平洋人寿减持5930万股，杭州银行怎么了？ 减持股份,中华网
410,2021-08-02,一天差点涨出一家银行！价值股又香了？,Wind
411,2021-08-02,杭州银行(600926.SH)持股2.97%股东太平洋人寿拟减持不超1%股份 拟减持股份,智通财经
412,2021-08-02,杭州银行(600926.SH)：太平洋人寿拟减持不超5930万股 拟减持股份,格隆汇
413,2021-08-02,杭州银行：太平洋人寿拟减持不超过1%公司股份,Wind
414,2021-08-02,2021Q2金融机构贷款投向数据点评：信贷投放持续“重制造 限房贷”,新浪
415,2021-08-02,金融行业周报：2021年Q2公募基金保有规模公布 首推东方财富、招商银行,新浪
416,2021-08-02,银行股全线回暖，张家港行涨超4%,Wind
417,2021-07-31,3.2亿资金被冻结！粤开证券风险资产释放殆尽 副总裁也宣布辞职 资产查封,券商中国
418,2021-07-31,3.2亿资金被冻结！这家券商风险资产释放殆尽，副总裁也宣布辞职，什么情况？ 资产查封,券商中国
419,2021-07-30,"杭州银行现1笔大宗交易 共成交3,484.80万元",新浪
420,2021-07-30,杭州银行今日大宗交易成交288万股，成交价12.1元溢价0.0%,Wind
421,2021-07-30,杭州银行：累计支持北京科技文创客户超1500户 发放贷款超150亿元,北京商报
422,2021-07-29,首创钜大与首创集团签订委托保证合同,Wind
423,2021-07-29,国开行首单“长江经济带发展”专题绿色金融债券点评：国开行引领绿色债券发展,新浪
424,2021-07-29,太保寿险减持杭州银行1%股份计划实施完毕，共套现9.14亿元 拟减持股份,搜狐
425,2021-07-29,"杭州银行现1笔大宗交易 共成交4,981.68万元",新浪
426,2021-07-29,杭州银行今日大宗交易成交407万股，成交价12.24元溢价0.0%,Wind
427,2021-07-29,杭州银行：太平洋人寿减持1%公司股份，完成减持计划 拟减持股份,Wind
428,2021-07-29,杭州银行(600926.SH)股东太平洋人寿累计减持比例达1% 减持实施完毕 减持股份,智通财经
429,2021-07-28,什么情况？张坤、谢治宇逆势加仓一类股,Wind
430,2021-07-27,什么情况？银行股遭公募基金减持 张坤却逆势加仓 减持股份,中证报
431,2021-07-27,【银华基金】交易日报 2021-07-27,新浪
432,2021-07-27,银行行业周观点：7月LPR报价维持不变,新浪
433,2021-07-26,上市商业银行生产效率：农行、建行等排名第一,零壹财经
434,2021-07-26,打造中国特色硅谷银行！杭州银行在沪开设科创金融中心,陆家嘴金融网
435,2021-07-26,银河证券每日晨报,新浪
436,2021-07-26,93%重仓金融，80%狂买房地产！多只基金投资“一把梭”,Wind
437,2021-07-25,银行行业点评：房贷额度、利率与政策导向,新浪
438,2021-07-25,蔡嵩松又火了，近乎全仓半导体！这些基金投资“一把梭”,Wind
439,2021-07-24,银行业点评2021Q2公募基金持仓数据点评：银行公募持仓占比回落 差异化品种和优质城商行机构偏好较强,新浪
440,2021-07-23,可转债市场点评：可转债发行数量减少 发行规模增加,新浪
441,2021-07-23,银行行业：公募持仓大幅下降 关注业绩预期修正带来的配置机会,广发证券
442,2021-07-22,深度*行业*银行业2季度持仓点评：重仓比例环比回落 关注银行中报行情,新浪
