,2021-12-31,化工行业2021年11月数据：国内化工行业运行指标跟踪,新浪
303,2021-04-13,首创证券--化工行业周报：当前时点坚定推荐时间换空间阿尔法品种【行业研究】,金融界股吧
304,2021-04-13,首创证券--市场策略报告：首席周观点，静观其变【投资策略】,金融界股吧
305,2021-04-12,化工周报：钛白粉、醋酸大幅上涨 一季报进入兑现期 关注Q2基本面持续向好的细分龙头,新浪
306,2021-04-12,化工行业：PPI上升较快影响短期超额收益率 看好产能周期下化工景气持续,新浪
307,2021-04-12,化工行业周度观点22W15：3月PPI同比和环比涨幅扩大 化工行业一季度表现亮眼,新浪
308,2021-04-12,化工行业周报：Q1业绩持续向上共振 万华Q1业绩创历史新高,新浪
309,2021-04-09,[路演]新和成：看好生命健康产业的发展前景,全景网
310,2021-04-08,化工行业周报：顺周期下半场 关注时间换空间阿尔法品种,新浪
311,2021-04-08,中泰证券--中泰化工周度观点22W14：两化重组终落地，化工迎来新发展【行业研究】,金融界股吧
312,2021-04-08,“神枪手”社保基金持仓路线曝光！新进47只个股 医药电子是真爱,21世纪经济报道
313,2021-04-07,老记吹“牛”｜从今天起，做一个盯碳酸锂的人,金融界
314,2021-04-07,基础化工行业周报：芯片短缺问题加剧 光刻胶紧缺局面带动板块反弹,光大证券
315,2021-04-07,基础化工行业周报：“两化”重组消息公布 农化业务整合已提前完成,光大证券
316,2021-04-07,53公司获得增持评级-更新中,中财网
317,2021-04-07,化工行业专题：周期成长龙头”护城河“来自哪里？,新浪
318,2021-04-07,石油天然气、化工行业中国化工崛起三部曲之一：优质企业向全球化工龙头迈进,新浪
319,2021-04-07,49股去年四季度获社保基金扎堆持有,证券时报网
320,2021-04-07,新和成(002001)：全年业绩高增长 维生素景气回升,新浪
321,2021-04-07,中金 | 中国化工崛起三部曲之一：优质企业向全球化工龙头迈进,中金点睛
322,2021-04-06,聚焦IPO | 上市前夕紧急分红，资金告急募资还贷，产品遭加征关税，亚香股份陷入两难,红周刊
323,2021-04-06,中泰周期·大宗指南第13期：周期品周度运行变化,新浪
324,2021-04-06,新和成(002001)：Q4业绩受影响 看好公司长期发展,新浪
325,2021-04-06,医药行业周报：核心资产景气回归 关注第二批耗材集采进程,新浪
326,2021-04-06,今天，和17岁中小板说再见——道达早评,每日经济新闻
327,2021-04-06,化工周报：钾肥、甲酸价格上涨 关注Q1业绩反转标的 推荐白马及细分龙头,新浪
328,2021-04-05,中小板基金今更名 主要以指数型基金为主,每日经济新闻
329,2021-04-05,深市主板中小板合并，企业融资效率再提升,第一财经
330,2021-04-03,大分子崛起， 小分子落寞！ 千亿市值“原料药之城”何去何从？,E药经理人
331,2021-04-03,化工｜“两化合并”：打造科技驱动的创新型企业和世界一流的综合性化工企业,中信证券研究
332,2021-04-02,安迪苏(600299)：量价齐升业绩同比大增 特种产品第二支柱作用明显,新浪
333,2021-04-02,530股近一周获机构推荐，28股上调评级,Wind
334,2021-04-02,惊呆！砸7亿多“加仓”，私募大佬裘国根罕见出手了,Wind
335,2021-04-01,新和成(002001)：维生素景气向好 大规模资本开支逐步贡献业绩,广发证券
336,2021-04-01,300家医药上市公司迎来年报季，各细分赛道谁是盈利王？,国际金融报
337,2021-04-01,新和成(002001)：公司业绩符合预期 看好公司成长性,国金证券股份有限公司
338,2021-04-01,【国金化工】新和成点评——公司业绩符合预期，看好公司成长性(2021-03-31),点石化金
339,2021-04-01,华西证券--安迪苏:液体蛋氨酸销量快速增长，特种产品业务持续爆发【公司研究】,金融界股吧
340,2021-04-01,东方证券维持新和成增持评级：Q4业绩受影响，看好公司长期发展,每日经济新闻
341,2021-04-01,新和成(002001)：主营产品高景气 大规模在建工程转固发展再上新台阶,新浪
342,2021-04-01,晨会聚焦210401重点关注纺织服装、医药生物、安克创新、药明康德、新和成、卓胜微、中芯国际-U、华熙生物、周大生、宇信科技,国信研究
343,2021-04-01,券商首次关注11股并给予买入评级（4月1日）,Wind
344,2021-04-01,开源晨会0401丨地方债务四十年沉浮；泛微网络、豪迈科技、斯迪克等,开源证券研究所
345,2021-04-01,深夜重磅！深交所两板合并倒计时，23万亿大板块启航！再见，中小板！,金融界
346,2021-03-31,【开源化工】新和成年报点评报告：2020年业绩高增65%，精细化工龙头成长动力充足,Au化工
347,2021-03-31,天风证券维持新和成买入评级：收入大幅增长，蛋氨酸成本优势凸显,每日经济新闻
348,2021-03-31,华西证券给予新和成增持评级：量价齐升推动业绩高增，大量项目推进保障成长,每日经济新闻
349,2021-03-31,【中银化工点评报告】新和成（002001.SZ）,点化成金
350,2021-03-31,新和成(002001)年报点评报告：收入大幅增长 蛋氨酸成本优势凸显,新浪
351,2021-03-31,[公司]新和成2020年业绩稳健增长 营收破百亿同比增长34.64%,全景网
352,2021-03-31,深度*公司*新和成(002001)：量价齐涨 上调盈利预测,新浪
353,2021-03-31,新和成(002001)：营养品爆发带动全年业绩大增 资本开支不断打开成长天花板,新浪
354,2021-03-31,安信证券--新和成：营养品量价齐升，项目落地有序推进【公司研究】,金融界股吧
355,2021-03-31,【招商基础化工】新和成：维生素景气度上行，新项目投产增强成长确定性,招商基础化工
356,2021-03-31,【新和成 | 年报点评：精准把握市场机遇，业绩大幅增长符合预期】-国信证券,化工林谈
357,2021-03-31,【方正化工】新和成2020年报点评：营养品板块景气上行，助力公司业绩高增长,靠谱化工股
358,2021-03-31,新和成去年业绩创新高 营收首次突破百亿大关,证券时报
359,2021-03-31,【太平洋化工】新和成：蛋氨酸市场份额明显提升，生物发酵项目接力成长,强大化工
360,2021-03-31,中泰证券维持新和成买入评级：全年业绩稳健增长、长期成长值得期待,每日经济新闻
361,2021-03-31,开源证券--化工行业周报：化工板块企稳迎配置良机，万华化学布局石化产业链【行业研究】,金融界股吧
362,2021-03-31,周三最新重磅公司新闻集锦(03月31日),证券之星
363,2021-03-31,新和成(002001.SZ)2020年度净利润升64.59%至35.64亿元拟10转2派7元,格隆汇
364,2021-03-30,新和成：2020年净利润同比增65% 拟10转2派7元,e公司
365,2021-03-30,新和成：2020年度净利润约35.64亿元，同比增加64.59%，拟10转2派7元,每日经济新闻
366,2021-03-30,新和成(002001.SZ)年度归母净利同比增长64.59%至35.64亿元 拟10转2派7元,智通财经
367,2021-03-30,新和成：2020年净利润同比增长64.59%,Wind
368,2021-03-30,3月30日晚间重要行业研究汇总(附股),中金在线
369,2021-03-30,首席周观点：蛰伏待机,新浪
370,2021-03-29,深度*行业*化工行业周报：多数化工品价格高位调整 农资维持坚挺,新浪
371,2021-03-29,3月29日晚间重要行业研究汇总(附股),中金在线
372,2021-03-29,化工行业：万华推进福建工业园一体化布局 行业价格回调力度较小,新浪
373,2021-03-28,“碳中和”背景下的行业投资机会丨一周重点研究报告,开源证券研究所
374,2021-03-27,【中原医药】浙江医药(600216)调研分析报告：独家品种无氟喹诺酮放量可期，稳扎稳打迈向综合创新药企,中原证券研究所
375,2021-03-26,化工专题：行业集中度提升 会带来哪些影响？,新浪
376,2021-03-25,年报揭示百亿元级私募投资变化，高毅资产持股市值最高,Wind
377,2021-03-23,周期全线调整，化工板块加速下挫，化工ETF（516020）持续溢价盘中获近1400万资金申购 连续下跌,资本邦
378,2021-03-22,首创证券--市场策略报告：首席周观点，反弹依然承压，静静等待机会【投资策略】,金融界股吧
379,2021-03-22,化工板块快速回落，万华化学跌近5%，中泰证券化工：原油中期存回暖预期，龙头价值穿越周期,资本邦
380,2021-03-22,内蒙古能耗双控下电石大涨，业绩支撑化工继续超配,中信建投证券研究
381,2021-03-20,新和成：公司PPS有自己的专有技术，目前是国内该产品最大的生产商,每日经济新闻
382,2021-03-20,新 和 成：目前维生素D产能可以满足客户需求,每日经济新闻
383,2021-03-19,2年2倍、估值仅20倍，既是周期股又是消费股，敢入手吗？,云掌财经
384,2021-03-17,2021年基础化工行业春季投资策略：继续关注强Α白马 精选优质赛道龙头,新浪
385,2021-03-16,首创证券--市场策略报告：两大隐忧未除，反弹力度有限【投资策略】,金融界股吧
386,2021-03-16,11家百亿元级私募重仓41只A股,Wind
387,2021-03-15,化工周度观点21W11：碳中和大背景下的中国化工新时代,新浪
388,2021-03-14,基础化工行业周报：原油价格供需格局共促化工品价格上涨 带动国内PPI 逐步提升,光大证券
389,2021-03-12,新和成成立尼龙材料新公司，注册资本5000万,企查查
390,2021-03-11,新和成：近年来的研发投入占营业收入的比例均在5%以上,每日经济新闻
391,2021-03-11,新 和 成：公司目前柠檬醛产品自供配套做香料和营养品对外销售,每日经济新闻
392,2021-03-10,中泰证券--中泰化工周度观点21W10：OPEC+延长减产计划，大宗品再获成本支撑【行业研究】,金融界股吧
393,2021-03-10,中银证券--化工行业周报：OPEC延续减产，氨纶价格涨幅领先【行业研究】,金融界股吧
394,2021-03-10,全力打造高质量玉米精深加工产业链,新浪
395,2021-03-08,化工行业周报【20210307】,点化成金
396,2021-03-07,石油化工行业周报：OPEC+会议结果助力油价上涨,光大证券
397,2021-03-07,化工周度观点：OPEC+延长减产计划 大宗品再获成本支撑,新浪
398,2021-03-06,石化化工行业近期行情点评：短期调整不改长期逻辑 坚定长期看好石化化工板块行情,光大证券
399,2021-03-04,新 和 成：公司未投产己二腈产品,每日经济新闻
400,2021-03-04,新 和 成：股东数为5.70万户,每日经济新闻
401,2021-03-04,【招商基础化工】浙江医药深度报告：维生素量价齐升，创新药爆发力强,招商基础化工
402,2021-03-03,日评：新和成今日VA报价450元/公斤,百川盈孚
403,2021-03-03,中银证券--化工行业周报：油价与海外供应紧张致化工品价格大幅上涨【行业研究】,金融界股吧
404,2021-03-03,中泰证券--化工：从恢复到景气，看当下化工的位置与节奏【行业研究】,金融界股吧
405,2021-03-02,天风证券维持新和成买入评级：奋进新十年，逐梦新征程，目标价59元,每日经济新闻
406,2021-03-02,逆市新高股名单出炉 机构扎堆看好,第一财经
407,2021-03-02,酒鬼酒29天跌42%，一批机构抱团股连续大跌！逆市新高股来了，机构扎堆推荐,证券时报网
408,2021-03-02,新和成(002001)公司深度研究：奋进新十年 逐梦新征程,新浪
409,2021-03-02,日评：VD3市场再起波澜，厂家报价上涨,百川盈孚
410,2021-03-01,化工周报：本轮化工周期更似07-08年 全球化工制造业基本恢复 坚定看好化工板块行情,新浪
411,2021-03-01,化工产品迎来史诗级上涨 化工龙头股票有哪些？,至诚财经
412,2021-03-01,化工板块多股涨停，价格十年新高产品屡现，一线龙头获益,第一财经
413,2021-03-01,化纤行业涨势强劲，美达股份、新乡化纤、苏州龙杰涨停,金融界
414,2021-03-01,中泰证券：化工行业仍处于景气确定性较高阶段，行业龙头有望持续享受估值上行,证券时报网
415,2021-02-26,新和成(002001.SZ)：第三期员工持股计划完成股票购买,格隆汇
416,2021-02-26,成交均价35.97元！新和成：第三期员工持股计划购买约844万股,每日经济新闻
417,2021-02-25,新城控股等12股股价创历史新高,证券时报网
418,2021-02-25,暗示市场机会偏小？易方达旗下又一基金限购，三个月内第五次,澎湃新闻
419,2021-02-23,中银证券--化工行业周报：国际油价高位震荡，外盘推涨芳烃PVC价格【行业研究】,金融界股吧
420,2021-02-23,首创证券--化工行业周报：丁辛醇价格跳涨，化工景气持续复苏【行业研究】,金融界股吧
421,2021-02-23,券商晨会观点速递,第一财经
