,2021-12-30,消息称华润微 12 英寸先进功率半导体晶圆生产线项目有望于明年建成投产,中电网
301,2021-08-19,华润微：12寸产线积极扩充,半导体风向标
302,2021-08-19,士兰微、华润微你追我赶，功率IDM两大龙头中报业绩创历史新高,第一财经
303,2021-08-19,东方证券维持华润微买入评级：业绩超预期，毛利率大幅提升,每日经济新闻
304,2021-08-19,华润微(688396)2021年中报点评：业绩超预期 行业高景气下国产功率龙头盈利弹性持续释放,新浪
305,2021-08-19,安信证券维持华润微买入评级：盈利能力稳步提升，夯实功率龙头地位,每日经济新闻
306,2021-08-19,A股资金流向（8月19日）：核心赛道股再获追捧，大金融遭抛售,Wind
307,2021-08-19,A股收盘综述：大小指数再度切换，北向大幅流出超百亿,Wind
308,2021-08-19,研发投入增两成国产替代空间大 华润微中报业绩增长近两倍,产业经济新闻网
309,2021-08-19,华润微上半年归母净利润同比涨164.9% 第三代半导体器件领域取得技术突破,证券日报网
310,2021-08-19,华润微半年报解读：产能满载 净利增165%,Ofweek
311,2021-08-19,国盛证券：维持华润微(688396.SH)“买入”评级 行业高度景气 盈利能力显着提升,智通财经
312,2021-08-19,解盘：权重白马低迷，锂矿、半导体、动力电池、5G略涨,Wind
313,2021-08-19,A股午盘综述：沪指跌0.71%，周期股全线下挫,Wind
314,2021-08-19,国产替代+新能源驱动 华润微上半年功率半导体收入增44%,中自网
315,2021-08-19,信达证券维持华润微增持评级：Q2业绩创新高，高景气度下迎丰收期,每日经济新闻
316,2021-08-19,华润微上半年营收净利双增长 彰显增长动能,凤凰网
317,2021-08-19,近10股涨逾5% 半导体板块逆势飘红,第一财经
318,2021-08-19,北方华创、华润微大涨，芯片ETF(512760)涨超2%,资本邦
319,2021-08-19,国金证券：维持华润微(688396.SH)“买入”评级 多产品线爆发式增长,智通财经
320,2021-08-19,订单饱满+产能利用率高，华润微上半年净利润达10亿,LED在线
321,2021-08-19,华润微公布半年报 上半年净利增加164.86%,新浪
322,2021-08-19,民生证券维持华润微推荐评级：H1业绩大增，产能扩张量价齐升持续,每日经济新闻
323,2021-08-19,芯片股普遍回暖，聚灿光电涨超8%,Wind
324,2021-08-19,开源证券维持华润微买入评级，公司信息更新报告：2021H1高增长，积极布局产能建设、夯实龙头地位,每日经济新闻
325,2021-08-19,半年报解读|订单饱满、产能满载 华润微净利增165% 已提前布局新型存储技术,财联社
326,2021-08-19,净利润突破10亿元！华润微上半年交出亮眼成绩单,上海有色
327,2021-08-19,8月19日操盘必读：影响股市利好与利空消息,新浪
328,2021-08-19,华润微上半年净利润10.68亿 研发费用率同比下滑 盈利能力下降,中国经济网
329,2021-08-19,科创板战略配售硕果累累，三大产业高成长造就翻倍收益,Wind
330,2021-08-18,华润微上半年归母净利润同比涨超164% 加大研发进一步丰富产品布局,上证报
331,2021-08-18,科创板晚报|上海与宁德时代签约深化新能源合作 华润微半年报上半年净利同比增165%,财联社
332,2021-08-18,华西证券维持华润微买入评级：产品与工艺平台升级，MOSFET/IGBT优势凸显,每日经济新闻
333,2021-08-18,华润微上半年营收净利双增长，功率龙头无惧“缺芯”行情,每经网
334,2021-08-18,晚间重要公告2021年8月18日星期三,Wind
335,2021-08-18,晚间公告｜8月18日这些公告有看头,第一财经
336,2021-08-18,华润微上半年净利润增164.86% 预计半导体元器件缺货可能会持续,e公司
337,2021-08-18,华润微2021年中报：归母净利润同比增长约165% 进一步丰富产品布局,发布易
338,2021-08-18,半导体市场景气度提升，华润微上半年净利润同比增165%,第一财经
339,2021-08-18,华润微上半年净利大增164.86%，功率半导体国产替代空间广阔,阿尔法工场
340,2021-08-18,A股资金流向（8月18日）：近150亿资金加码非银金融行业,Wind
341,2021-08-18,市场景气度较高 华润微(688396.SH)半年度归母净利同比增164.86%至10.68亿元,智通财经
342,2021-08-18,华润微：2021年半年度净利润约10.68亿元，同比增加164.86%,每日经济新闻
343,2021-08-18,华润微：上半年净利10.68亿元 同比增164.86%,e公司
344,2021-08-18,华润微(688396.SH)上半年净利升164.86%至10.68亿元 整体毛利率同比增长6.97个百分点,格隆汇
345,2021-08-18,华润微(688396.SH)聘任李舸为副总裁兼总法律顾问,智通财经
346,2021-08-18,华润微半年报：上半年净利10.68亿元 同比增长165%,财联社
347,2021-08-18,华润微：上半年净利润同比增长164.86%,Wind
348,2021-08-17,华润微接受18家机构调研！短期主力资金净流入，市场资金早已察觉,每日经济新闻
349,2021-08-17,深度*行业*半导体行业周报：全球半导体设备交付期延长至14个月,新浪
350,2021-08-17,A股资金流向（8月17日）：超900亿资金离场，权重股多数遭抛售,Wind
351,2021-08-16,电子元件：国产替代：半导体行业发展不变的主旋律,新浪
352,2021-08-16,华润微现1笔大宗交易 共成交579.95万元,新浪
353,2021-08-16,华润微今日大宗交易成交7万股，成交价82.84元折价2.58%,Wind
354,2021-08-16,通信电子行业周报：高精度位导龙头华测导航迈入自动驾驶时代,光大证券
355,2021-08-16,A股资金流向（8月16日）：资金大幅出逃锂电产业链,Wind
356,2021-08-16,117.5亿！华润微在重庆再投一项目,中自网
357,2021-08-16,宁德时代重挫6%！千亿医药白马罕见跌停,Wind
358,2021-08-16,华润微：公司没有参与炒芯行为,每日经济新闻
359,2021-08-16,半导体产业链冲高,Wind
360,2021-08-15,【太平洋机械】机械行业周报20210814：工程机械基本面改善，看好年内继续向上,太平洋机械大讲堂
361,2021-08-13,华润微追加投资42亿元在重庆建设功率半导体封装基地,鲸平台
362,2021-08-13,任职近30年员工离职，未持有任何股份，华润微上市一年半股价翻倍 员工变动,AI财经社
363,2021-08-13,A股资金流向（8月13日）：科技龙头遭集中抛售,Wind
364,2021-08-13,华润微(688396.SH)核心技术人员计建新申请辞去相关职务,智通财经
365,2021-08-13,华润微：公司核心技术人员离职 员工变动,Wind
366,2021-08-11,新能源车时代，功率半导体乘风而起 | 开源证券电子,开源证券研究所
367,2021-08-10,A股资金流向（8月10日）：白酒龙头“旧神归来”，盐湖股份遭主力减仓超百亿,Wind
368,2021-08-10,一半是海水一半是火焰，极致行情下基金调仓换股攻略,Wind
369,2021-08-09,通信电子行业周报：看好通信板块中期行情 半导体波动中掘金,光大证券
370,2021-08-09,A股资金流向（8月9日）：市场复刻上周一行情，资金青睐大金融板块,Wind
371,2021-08-09,电子行业周报：产业趋势向上明确 短期波动不改高景气,新浪
372,2021-08-09,华润微：公司已组建汽车电子产品小组,Wind
373,2021-08-07,超越北上深广，这个城市人均GDP全国第一！,Wind
374,2021-08-05,巨无霸“穿鞋”而来！中国电信IPO拟发超百亿股，创近11年来新高,Wind
375,2021-08-05,套现近2亿！200亿芯片股被“国家队”大手笔减持,Wind
376,2021-08-04,A股资金流向（8月4日）：赛道股王者归来，大资金高位加仓,Wind
377,2021-08-03,A股资金流向（8月3日）：高切低趋势日渐明朗，新能源产业链集体遭抛售,Wind
378,2021-08-02,电子行业研究周报：科技股逆市上扬 光刻胶持续升温,新浪
379,2021-08-02,A股资金流向（8月2日）：高切低痕迹明显，资金转战超跌价值股,Wind
380,2021-07-30,华润微：加快向综合一体化公司转型，坐稳功率龙头企业,搜狐
381,2021-07-30,芯片股依旧活跃，兆易创新收获11连阳,Wind
382,2021-07-30,功率半导体Q4又掀涨价潮 港A两地半导体股集体拉升,格隆汇
383,2021-07-30,牵手“大基金”布局汽车电子芯片 功率半导体龙头华润微欲踏新征程,大众证券报
384,2021-07-30,大基金再度出手！套现千亿芯片巨头20亿,Wind
385,2021-07-30,价格暴涨！功率半导体供货最长达69周 国产替代加速,快科技
386,2021-07-29,MOSFET供应吃紧，传新洁能/华润微/杨杰Q4再涨价,国际电子商情
387,2021-07-29,A股资金流向（7月29日）：成长股强势反包，资金汹涌抢筹,Wind
388,2021-07-29,芯片股突然飙涨：20%涨停潮！腾讯大涨4000亿,Wind
389,2021-07-28,A股资金流向（7月28日）：资金快进快出，芯片龙头被抛售,Wind
390,2021-07-27,A股共发生145宗大宗交易成交31.54亿元（7月27日）,Wind
391,2021-07-27,华润微今日大宗交易成交26.74万股，成交价73.0元折价20.15%,Wind
392,2021-07-27,A股资金流向（7月27日）：新能源产业链持续遭抛售，芯片龙头一枝独秀,Wind
393,2021-07-27,芯片股午后涨势进一步扩大，兆易创新、北方华创齐创新高,Wind
394,2021-07-27,芯片股大涨：5000亿巨头20%涨停，科创板大爆发,Wind
395,2021-07-27,电子行业周报：车规MCU大赛道 国产厂商谁有望突围,国海证券
396,2021-07-26,功率器件产销率不断提升，龙头酝酿新一轮涨价，大白马市值逼近千亿,财联社
397,2021-07-26,A股资金流向（7月26日）：“茅族”、“宁族”集体遭抛售，芯片龙头获青睐,Wind
398,2021-07-26,国家情怀——2021科创之夜：以科创情怀、谱写中国科创未来（附获奖榜单）,金融界
399,2021-07-24,科创板“试验田”两周年：收成与不足,Wind
400,2021-07-24,新能源对半导体的拉动分为两个层次，关注12条主线,方正证券
401,2021-07-23,A股资金流向（7月23日）：市场情绪低迷，白酒、医药股遭大幅抛售,Wind
402,2021-07-22,又是核心技术人员离职 千亿芯片巨头华润微称没有实质影响 员工变动,快科技
403,2021-07-22,A股资金流向（7月22日）：资金持续减仓白酒、医药等消费龙头,Wind
404,2021-07-22,华润微(688396.SH)核心技术人员余楚荣退休返聘协议到期离职 员工变动,智通财经
405,2021-07-22,华润微：公司核心技术人员离职 员工变动,Wind
406,2021-07-22,三代半导体尾盘爆发，士兰微、北方华创双双大涨新高,Wind
407,2021-07-21,华润微：抓住重大机遇 加快向综合一体化公司转型,证券时报网
408,2021-07-21,科创板开市两周年：长三角力量日益凸显、产业链集群效应显着,第一财经
409,2021-07-21,A股资金流向（7月21日）：新能源产业链卷土重来，消费电子遭抛售,Wind
410,2021-07-20,电子行业周报：台积电2021Q2业绩解读及2021Q3展望,国海证券
411,2021-07-20,A股资金流向（7月20日）：资金趋向谨慎，行业龙头仍有溢价,Wind
412,2021-07-20,重磅机会！机构罕见扎堆调研，这一策略胜率高达八成,Wind
413,2021-07-20,机构调研跑断腿，科创板股票春天将至？,Wind
414,2021-07-19,A股资金流向（7月19日）：资金避高就低，医药、白酒龙头重获资金青睐,Wind
415,2021-07-19,电子行业周报：后摩尔时代 看好第三代半导体战略发展机遇,新浪
416,2021-07-19,电子元器件行业周报：SEMI展望半导体设备销售22年将新高,新浪
417,2021-07-19,电子行业周报：多政策支持半导体发展 持续看好国产替代,新浪
418,2021-07-18,新能源板块罕见急跌预示调整开始？北向资金已高位离场,第一财经
419,2021-07-16,为什么其他半导体制造公司都在涨，而中芯国际(00981)不涨？,智通财经
420,2021-07-16,A股资金流向（7月16日）：新能源龙头连遭抛售，军工股获避险资金青睐,Wind
421,2021-07-16,国家大基金投资路径进行时：一期减持动作不断有序退出，二期募资超2000亿布局投资步伐逐渐全面提速,金融界
422,2021-07-15,A股资金流向（7月15日）：白酒、金融获资金青睐，比亚迪连续遭大幅抛售,Wind
423,2021-07-15,“缺芯潮”难解，半导体高景气，华润微前景如何？和讯SGI评分76,和讯
424,2021-07-15,和讯SGI公司| “缺芯潮”难解，半导体行业高景气，华润微携手大基金前景如何？,和讯
425,2021-07-15,MOSFET价格Q3再涨20%，多家IDM大厂减产停工，本土厂商迎利好！,慧聪电子网
426,2021-07-13,A股资金流向（7月13日）：业绩成为市场“试金石”，芯片股“掉队”遭抛售,Wind
427,2021-07-13,华润微：将综合考虑价格策略拟扩充部分产能,财联社
