,2021-12-31,实体企业怎么实现数字化转型升级？广联达刁志中解答,新浪
310,2021-08-25,广联达(002410)2021年半年度报告点评：云转型进入新阶段 施工合同高速增长,新浪
311,2021-08-25,中铁北京工程局北京公司获四项计算机软件着作权,经济日报
312,2021-08-25,182股获券商买入评级 康强电子目标涨幅达84.65%,Wind
313,2021-08-25,美好明天，数字化带来的高效运转与高效决策,网易
314,2021-08-25,东方财富证券维持广联达买入评级，2021年中报点评：业绩高速增长，数字造价业务进入发展 新阶段,每日经济新闻
315,2021-08-25,广联达拟2.88亿港元切入装配式建筑领域 加快造价业务转型云收入占近70%创新高,长江商报
316,2021-08-24,国元证券维持广联达买入评级，2021年半年度报告点评：云转型进入新阶段，施工合同高速增长,每日经济新闻
317,2021-08-24,广联达上半年净利润同比上涨120% 数字施工业务新签合同翻倍大增,每日经济新闻
318,2021-08-24,广联达(002410)深度研究报告：跨越S型增长曲线 成为数字建筑平台服务商,新浪
319,2021-08-24,中泰证券维持广联达买入评级：施工业务新签合同高增，设计业务加速突破,每日经济新闻
320,2021-08-24,胡葆森的“小执念”达成 筑友智造与广联达组成装配式建筑“新CP”,21世纪经济报道
321,2021-08-24,中国银河证券维持广联达推荐评级：公司云服务转型过半，关注未来多业务协同发展,每日经济新闻
322,2021-08-24,物美集团许少川：实体店还是有未来的 但必须向数字化转变,新浪
323,2021-08-24,安信证券维持广联达买入评级：云转型“攻坚”地区推进顺利，施工新签合同额同比增速超翻倍,每日经济新闻
324,2021-08-24,首创证券维持广联达买入评级，公司简评报告：施工、设计业务开启新增长级,每日经济新闻
325,2021-08-24,筑友智造科技牵手广联达 胡葆森：装配式领域“新CP”诞生,新京报
326,2021-08-24,高毅冯柳、邓晓峰看好这两只热门股！高瓴继续坚守白电龙头,红周刊
327,2021-08-24,筑友智造科技与广联达战略合作 共同发力建筑业数字化新赛道,证券日报网
328,2021-08-24,天风证券维持广联达买入评级：中报业绩符合预期，施工新签合同额增长翻翻,每日经济新闻
329,2021-08-24,广联达:将参与筑友公司治理 把20年经验贡献给筑友,金融界
330,2021-08-24,“产业化+数字化”，筑友智造科技牵手广联达,新浪
331,2021-08-24,东吴证券维持广联达买入评级：业绩持续高增长，造价迈入全面云转型,每日经济新闻
332,2021-08-24,胡葆森谈筑友与广联达合作 组成“产业化+科技化”建筑新CP,金融界
333,2021-08-24,东吴计算机点评【广联达2021年半年报点评：业绩持续高增长，造价迈入全面云转型】,吴声计事
334,2021-08-24,广联达(002410)：施工合同翻倍增长 下半年有望集中确认,新浪
335,2021-08-24,A股异动 | 广联达(002410.SZ)涨4% 上半年净利同比增长119.95%,格隆汇
336,2021-08-24,广联达(002410)：云转型顺利 关注工业软件,新浪
337,2021-08-24,平安证券维持广联达强烈推荐评级：造价全面云转型顺利推进，施工业务新签合同大幅增长,每日经济新闻
338,2021-08-24,国盛证券维持广联达买入评级：21H1表观指标快速恢复，建筑数字化转型不断超预期,每日经济新闻
339,2021-08-24,开源证券给维持广联达买入评级，公司信息更新报告：建筑设计业务有望开启新篇章,每日经济新闻
340,2021-08-24,【早间资讯】2021-08-24,大通证券投教基地
341,2021-08-24,A股早报2021年8月24日星期二,Wind
342,2021-08-24,操盘必读｜神工股份遭清仓式减持；海南矿业上半年净利增近30倍；国际油价飙升超5%；美股收涨纳指再创新高,上游新闻
343,2021-08-24,广联达(002410)半年报点评：21H1表观指标快速恢复 建筑数字化转型不断超预期,新浪
344,2021-08-24,广联达(002410)：业绩略超预期 数字施工积极拓展,新浪
345,2021-08-24,财经早报：央行释放重要信号加大信贷支持力度 1新股今日申购,新浪
346,2021-08-24,【中证盘前】工业母机火了！概念股提示风险；人工关节高值耗材国家集采将启动；海南矿业上半年净利增近30倍,中证报
347,2021-08-24,长信创新驱动股票净值上涨3.15%,新浪
348,2021-08-23,筑友智造完成2.88亿港元IPO上市后融资,亿邦动力
349,2021-08-23,上市公司重要公告集锦：萍乡中院决定对星星科技启动预重整,证券日报之声
350,2021-08-23,聚焦智博会 | 智能建造如何改变未来建筑品质？这些科技场景在智博会上亮相,上游新闻
351,2021-08-23,公告精选：工业母机概念股科德数控提示风险；云铝股份、攀钢钒钛等业绩大增,e公司
352,2021-08-23,8月23日晚间上市公司十大重磅公告,巨丰财经
353,2021-08-23,晚间公告｜8月23日这些公告有看头,第一财经
354,2021-08-23,广联达：上半年净利润同比增长119.95%,Wind
355,2021-08-23,广联达：2.88亿港元入股筑友智造科技 切入装配式建筑领域,e公司
356,2021-08-23,广联达(002410.SZ)拟斥资不超3.4亿元购买土地使用权,智通财经
357,2021-08-23,广联达(002410.SZ)香港子公司拟斥资2.88亿港元参与筑友智造科技定向增发,智通财经
358,2021-08-23,广联达：2021年半年度净利润约2.86亿元，同比增加119.95%,每日经济新闻
359,2021-08-23,广联达半年报：上半年净利2.86亿元 同比增长120%,财联社
360,2021-08-23,广联达(002410.SZ)上半年净利升119.95%至2.86亿元,格隆汇
361,2021-08-23,广联达(002410.SZ)上半年归母净利润同比增120%至2.86亿元,智通财经
362,2021-08-23,中信证券晨会,新浪
363,2021-08-23,民生计算机周报：网安法律体系初步建成 行业景气向上,新浪
364,2021-08-23,广联达（002410）：数字建筑扬帆，平台龙头起航,中信证券研究
365,2021-08-23,晨会0823｜坚持均衡配置，逐步左侧布局,中信证券研究
366,2021-08-23,筑友智造与广联达发力装配式建筑产业赛道；浪潮信息帮助钢铁企业建立智慧应用体系 | 36氪大公司数字化创新指南0824,36氪
367,2021-08-23,中关村软件园9月“组团”参展服贸会,新京报
368,2021-08-23,广联达 现场感受“数字建筑”独特魅力,北京青年报
369,2021-08-23,中关村软件园去年企业收入突破3300亿元,北京青年报
370,2021-08-22,小事记 | 嘉凯城易主 恒大回应约谈 蓝光涉20起诉讼和仲裁案件 诉讼纠纷,观点地产网
371,2021-08-22,富时罗素全球股票指数大调整！71只A股被纳入，全名单来了,证券时报
372,2021-08-22,啥情况？千亿大牛股被富时罗素踢出群，原因竟是这个！,Wind
373,2021-08-22,啥情况？千亿大牛股被富时罗素踢出群，原因竟是这个！71只A股被纳入，全名单来了,券商中国
374,2021-08-21,刚刚公布！71只A股新纳入，增量配置资金即将进场,Wind
375,2021-08-20,广联达认购筑友智造科技3亿股，总得款2.88亿港元,乐居财经
376,2021-08-20,筑友智造科技(00726.HK)拟向广联达子公司溢价33.33%发行3亿股 净筹2.875亿港元,格隆汇
377,2021-08-20,筑友智造与广联达订立认购协议 后者认购3亿股涉资2.88亿港元,观点地产网
378,2021-08-20,广联达溢价33%入股筑友智造科技(00726.HK),格隆汇
379,2021-08-20,筑友智造科技(00726)拟向广联达子公司溢价33.33%发行3亿股认购股份 筹资2.88亿港元用于与建筑业相关的数字化及软件开发,智通财经
380,2021-08-18,中冶天工集团长治文化场馆项目开展消防应急演练,中国网
381,2021-08-18,恒生电子(600570)深度研究：优势领域与增速上行！,新浪
382,2021-08-18,年内最差次新权益基金出炉 汇添富互联网核心资产六个月亏损约15%,新浪
383,2021-08-18,一只机器狗全天候覆盖2.5万平变电站 绝影X20拓展智慧巡检新高度,北极星电力
384,2021-08-18,泓德基金邬传雁多只产品年内表现不佳 长期主义能否拨云见日,GPLP犀牛财经
385,2021-08-17,36氪发布电子签名行业研究报告，法大大成电子合同头部代表,凤凰网
386,2021-08-17,广联达：公司的CIM平台主要涉及BIM+GIS+IOT，其中GIS部分主要实现数据接入、处理和渲染显示以满足CIM应用要求，有别于传统的GIS软件,每日经济新闻
387,2021-08-16,民生计算机周报：从中报发掘边际改善和持续成长,新浪
388,2021-08-16,开封市审计局紧扣“三环节”开展“推进城镇老旧小区改造提升”专项审计,钢企网
389,2021-08-16,计算机行业周观点：中报集中披露 龙头行情可期,新浪
390,2021-08-16,广联达：近期公司控股股东股份质押主要用于个人实业投资,Wind
391,2021-08-16,计算机行业周报：华为鸿蒙的最新进展和投资全景,新浪
392,2021-08-16,筑友智造科技（0726.HK）：净利润同比大增185% 家智造战略打开天花板,万科
393,2021-08-15,【兴证计算机】重要跟踪！华为鸿蒙最新进展及投资全景,兴业计算机团队
394,2021-08-15,持续看好服务器赛道，小票新股短期行情持续——华创计算机王文龙团队,新浪
395,2021-08-13,广联达(002410)：重塑数字底座 设计造价施工一体化发展,新浪
396,2021-08-13,引领数字工业解决方案，绝影X20定义机器狗应用新边界,凤凰网
397,2021-08-12,信息服务行业信息点评：从SALESFORCE到ZOOM 美股SAAS龙头为何纷纷开启巨资收购？,新浪
398,2021-08-11,三张新面孔逼近A股外资“禁买线”，这家公司猝然宣告净利暴增108倍,华夏时报
399,2021-08-11,计算机行业周报：用友发布精智工业互联网平台3.0 企业云化面临更多网络安全问题,新浪
400,2021-08-11,北上资金全透视月报(21年7月)：上月外资继续流入 增持电子与消费,广发证券
401,2021-08-11,一键开启“云”上未来 华夏云计算50ETF正式发行,中国网
402,2021-08-10,高瓴张磊被传“边控”后已辟谣 今年已收获上市公司近20家,财联社
403,2021-08-10,计算机应用行业：政策推动 工业软件行业关注度显着提升,新浪
404,2021-08-09,数字化转型浪潮 金融科技公司如何扮演“引路人”角色？,美股研究社
405,2021-08-09,广联达和海康威视推出联名款摄像机！视觉带动管理升级！,凤凰网
406,2021-08-08,计算机行业周报：工业软件有哪些重要变化,新浪
407,2021-08-08,从7·20郑州特大暴雨思考提升城市韧性 利用CIM技术构建城市洪涝监测预警体系,中国房地产网
408,2021-08-08,工业软件长期研究布局价值较大，浪潮信息或迎近两年强拐点——华创计算机王文龙团队,蚊子搞科研
409,2021-08-07,基金经理为何争相“剁手”赛道股？拥挤交易打败传统估值框架？四大维度解码赛道股热度几何 !,ZAKER
410,2021-08-06,外资向计算机板块流动，云计算、数据安全的确定性较高,红周刊
411,2021-08-06,国产替代热度持续 鼎捷软件、万兴科技等SaaS软件企,中经导报
412,2021-08-06,行业风口渐起 国产化替代背景下的SaaS软件企业前景几何?,凤凰网
413,2021-08-06,广联达：刁志中累计质押股数约为2740万股,每日经济新闻
414,2021-08-06,广联达(002410.SZ)控股股东刁志中质押1017万股及解押300万股,智通财经
415,2021-08-06,计算机行业2021Q2计算机行业机构重仓持股回顾：板块整体仍处于低配 行业选择更加分散,新浪
416,2021-08-06,建筑业绿色化转型升级呼唤三个绝配 装配式相关的这些公司有戏唱,钢企网
417,2021-08-06,东方国信进行工业数据安全治理，住建部推动建筑机器人研发 | 36氪大公司数字化创新指南0805,36氪
418,2021-08-05,工具软件价值分化，Adobe、万兴科技、猎豹移动们为何不同命？,36氪
419,2021-08-05,【银河计算机吴砚靖/邹文倩/李璐昕】行业动态 2021.7丨21Q2基金行业持仓处于低配，关注工业软件、网安及教育信息化赛道,中国银河证券研究
420,2021-08-04,从人社部新政，看人力资源数字化升级之道,凤凰网
421,2021-08-03,强强联合！广联达&海康威视联合实验室在上海揭牌，并发布联名解决方案！,证券之星
422,2021-08-03,外资爆买“超线”个股新增一家：中报净利暴增百倍 还有哪些个股获QFII青睐？,财联社
423,2021-08-03,计算机应用行业：云化带来ERP行业产品边界拓宽 工业互联网和国产化存在预期差,新浪
